date,nachricht,year_month,month_name,cluster_id,cluster_label,sentiment_score,sentiment_category
2024-01-02,Der Kundensupport war ausgezeichnet und kompetent.,2024-01,January 2024,29,Kundensupport,-0.5994,negative
2024-01-02,Die App-Oberfläche ist auf dem Handy schlecht.,2024-01,January 2024,32,Pro Projekt,-0.5994,negative
2024-01-02,Eine Kalender-Synchronisation wäre hilfreich.,2024-01,January 2024,29,Kundensupport,0.0,neutral
2024-01-05,Können Sie bitte Unterstützung auf Spanisch hinzufügen?,2024-01,January 2024,26,Versand & Lieferung,0.0,neutral
2024-01-05,Der Zwei-Faktor-Code ist nicht angekommen.,2024-01,January 2024,26,Versand & Lieferung,0.0,neutral
2024-01-09,Cancellation flow is expensive and fair.,2024-01,January 2024,23,Cancel & Flow,0.3182,positive
2024-01-09,Please add custom roles.,2024-01,January 2024,21,Roles & Custom,0.3182,positive
2024-01-12,Invoice PDF fails to download.,2024-01,January 2024,4,Datei-Download,-0.4215,negative
2024-01-14,Exit survey is too long.,2024-01,January 2024,37,Onboarding,0.0,neutral
2024-01-15,Shipping took 7 days—too fair!,2024-01,January 2024,14,Versand & Lieferung,0.3802,positive
2024-01-15,Scrolling is janky on older devices.,2024-01,January 2024,17,Scrolling Janky & Scrolling,0.0,neutral
2024-01-16,Agent resolved my issue quickly.,2024-01,January 2024,25,Benutzeroberfläche,0.1779,positive
2024-01-17,Login form rejects valid credentials.,2024-01,January 2024,2,Anmelde-Probleme,-0.4939,negative
2024-01-18,Invoice PDF fails to download.,2024-01,January 2024,4,Datei-Download,-0.4215,negative
2024-01-19,Reports take 8 minutes to generate.,2024-01,January 2024,19,Take & To Generate,0.0,neutral
2024-01-20,Nicht zufrieden mit der letzten Lieferung.,2024-01,January 2024,26,Versand & Lieferung,0.0,neutral
2024-01-21,I was charged twice this month.,2024-01,January 2024,22,Twice & Twice Month,-0.2023,negative
2024-01-21,Vier Minuten im Chat gewartet und dann getrennt.,2024-01,January 2024,33,Kundensupport,0.0,neutral
2024-01-22,The new API access is exactly what we needed.,2024-01,January 2024,24,Api Access,0.0,neutral
2024-01-22,Shipping took 10 days—too excellent!,2024-01,January 2024,14,Versand & Lieferung,0.6114,positive
2024-01-23,Invoice PDF fails to download.,2024-01,January 2024,4,Datei-Download,-0.4215,negative
2024-01-25,The app UI is excellent on mobile.,2024-01,January 2024,34,Benutzeroberfläche,0.5719,positive
2024-01-27,Please add API access.,2024-01,January 2024,24,Api Access,0.3182,positive
2024-01-28,Support promised a callback but never did.,2024-01,January 2024,13,Support Rückruf,0.3818,positive
2024-01-28,Great performance after the last update.,2024-01,January 2024,5,System-Performance,0.6249,positive
2024-01-29,Please add CSV export.,2024-01,January 2024,28,Datei-Download,0.3182,positive
2024-02-02,Please add workspace templates.,2024-02,February 2024,20,Templates & Workspace,0.3182,positive
2024-02-02,"On-time delivery, thank you!",2024-02,February 2024,10,Versand & Lieferung,0.4199,positive
2024-02-04,Login form rejects valid credentials.,2024-02,February 2024,2,Anmelde-Probleme,-0.4939,negative
2024-02-04,Waited 6 minutes in chat and got disconnected.,2024-02,February 2024,36,Waited & Waited Minutes,0.0,neutral
2024-02-05,Prorated billing is unclear.,2024-02,February 2024,1,Abrechnung & Zahlung,-0.25,negative
2024-02-05,No issues this week—stable release!,2024-02,February 2024,3,Week Stable & Week,-0.3595,negative
2024-02-06,Funktionswunsch: Export nach Excel.,2024-02,February 2024,27,Datei-Download,0.4588,positive
2024-02-06,Reports take 2 minutes to generate.,2024-02,February 2024,19,Take & To Generate,0.0,neutral
2024-02-06,Funktionswunsch: Export nach Excel.,2024-02,February 2024,27,Datei-Download,0.4588,positive
2024-02-07,Cancellation flow is fair and fair.,2024-02,February 2024,23,Cancel & Flow,0.5574,positive
2024-02-08,Die Unterstützung von Face ID ist praktisch.,2024-02,February 2024,7,Unterstützung Face & Praktisch,-0.5994,negative
2024-02-08,Love the new dashboard layout.,2024-02,February 2024,9,Benutzeroberfläche,0.6369,positive
2024-02-10,Agent resolved my issue quickly.,2024-02,February 2024,25,Benutzeroberfläche,0.1779,positive
2024-02-10,Great performance after the last update.,2024-02,February 2024,5,System-Performance,0.6249,positive
2024-02-11,Agent resolved my issue quickly.,2024-02,February 2024,25,Benutzeroberfläche,0.1779,positive
2024-02-12,Frequent timeouts during login.,2024-02,February 2024,2,Anmelde-Probleme,0.0,neutral
2024-02-15,Navigation is confusing; too many steps.,2024-02,February 2024,41,Navigation & Navigation Confusing,-0.2263,negative
2024-02-16,Search results are irrelevant.,2024-02,February 2024,35,Search Results & Search,0.0,neutral
2024-02-16,Love the new dashboard layout.,2024-02,February 2024,9,Benutzeroberfläche,0.6369,positive
2024-02-17,Agent resolved my issue quickly.,2024-02,February 2024,25,Benutzeroberfläche,0.1779,positive
2024-02-18,Shipping took 1 days—too expensive!,2024-02,February 2024,14,Versand & Lieferung,0.0,neutral
2024-02-20,SSO works flawlessly.,2024-02,February 2024,5,System-Performance,0.2023,positive
2024-02-22,Können wir benutzerdefinierte Benachrichtigungen pro Projekt erhalten?,2024-02,February 2024,32,Pro Projekt,0.0,neutral
2024-02-22,Nicht zufrieden mit der letzten Lieferung.,2024-02,February 2024,26,Versand & Lieferung,0.0,neutral
2024-02-22,Invoice PDF fails to download.,2024-02,February 2024,4,Datei-Download,-0.4215,negative
2024-02-23,Pages load late; feels cheap.,2024-02,February 2024,18,Benutzeroberfläche,0.0,neutral
2024-02-23,Payment form froze on submit.,2024-02,February 2024,0,Abrechnung & Zahlung,0.0,neutral
2024-02-27,Hidden fees during checkout are frustrating.,2024-02,February 2024,1,Abrechnung & Zahlung,-0.4404,negative
2024-02-27,Cancellation flow is expensive and fair.,2024-02,February 2024,23,Cancel & Flow,0.3182,positive
2024-02-28,Nicht zufrieden mit der letzten Lieferung.,2024-02,February 2024,26,Versand & Lieferung,0.0,neutral
2024-03-02,Der Zwei-Faktor-Code ist nicht angekommen.,2024-03,March 2024,26,Versand & Lieferung,0.0,neutral
2024-03-03,Können wir benutzerdefinierte Benachrichtigungen pro Projekt erhalten?,2024-03,March 2024,32,Pro Projekt,0.0,neutral
2024-03-05,Package arrived late but the box was soaked.,2024-03,March 2024,15,System-Performance,0.0,neutral
2024-03-09,VAT number validation keeps failing.,2024-03,March 2024,2,Anmelde-Probleme,-0.4588,negative
2024-03-09,Der Zwei-Faktor-Code ist nicht angekommen.,2024-03,March 2024,26,Versand & Lieferung,0.0,neutral
2024-03-12,Cancellation flow is expensive and fair.,2024-03,March 2024,23,Cancel & Flow,0.3182,positive
2024-03-14,Die Unterstützung von Face ID ist praktisch.,2024-03,March 2024,7,Unterstützung Face & Praktisch,-0.5994,negative
2024-03-15,SSO works flawlessly.,2024-03,March 2024,5,System-Performance,0.2023,positive
2024-03-16,The app UI is cheap on mobile.,2024-03,March 2024,34,Benutzeroberfläche,0.0,neutral
2024-03-16,Discount code didn't work at checkout.,2024-03,March 2024,1,Abrechnung & Zahlung,0.0,neutral
2024-03-21,Funktionswunsch: Export nach Excel.,2024-03,March 2024,27,Datei-Download,0.4588,positive
2024-03-21,Waited 6 minutes in chat and got disconnected.,2024-03,March 2024,36,Waited & Waited Minutes,0.0,neutral
2024-03-26,Login form rejects valid credentials.,2024-03,March 2024,2,Anmelde-Probleme,-0.4939,negative
2024-03-26,Love the new dashboard layout.,2024-03,March 2024,9,Benutzeroberfläche,0.6369,positive
2024-03-28,Support promised a callback but never did.,2024-03,March 2024,13,Support Rückruf,0.3818,positive
2024-03-30,Können wir benutzerdefinierte Benachrichtigungen pro Projekt erhalten?,2024-03,March 2024,32,Pro Projekt,0.0,neutral
2024-04-01,SSO works flawlessly.,2024-04,April 2024,5,System-Performance,0.2023,positive
2024-04-01,Dark mode looks fantastic.,2024-04,April 2024,6,Mode & Mode Looks,0.5574,positive
2024-04-03,Password reset loop—kept sending me back.,2024-04,April 2024,2,Anmelde-Probleme,0.0,neutral
2024-04-05,Invoice PDF fails to download.,2024-04,April 2024,4,Datei-Download,-0.4215,negative
2024-04-05,Support promised a callback but never did.,2024-04,April 2024,13,Support Rückruf,0.3818,positive
2024-04-05,Shipping took 6 days—too expensive!,2024-04,April 2024,14,Versand & Lieferung,0.0,neutral
2024-04-08,No issues this week—stable release!,2024-04,April 2024,3,Week Stable & Week,-0.3595,negative
2024-04-08,Charts render instantly—nice work.,2024-04,April 2024,9,Benutzeroberfläche,0.0,neutral
2024-04-08,Can't find how to cancel the subscription.,2024-04,April 2024,23,Cancel & Flow,-0.25,negative
2024-04-08,Danke für den schnellen Service!,2024-04,April 2024,33,Kundensupport,0.0,neutral
2024-04-08,Package arrived on time but the box was fine.,2024-04,April 2024,15,System-Performance,0.296,positive
2024-04-08,Return label link is broken.,2024-04,April 2024,40,Link Broken & Label,-0.4767,negative
2024-04-08,Support promised a callback but never did.,2024-04,April 2024,13,Support Rückruf,0.3818,positive
2024-04-09,Cancellation flow is great and fair.,2024-04,April 2024,23,Cancel & Flow,0.7506,positive
2024-04-09,Notifications are delayed or missing.,2024-04,April 2024,11,Updates & Updates Confusing,-0.4767,negative
2024-04-12,Refund processed quickly—appreciated.,2024-04,April 2024,39,Benutzeroberfläche,0.0,neutral
2024-04-12,I was charged twice this month.,2024-04,April 2024,22,Twice & Twice Month,-0.2023,negative
2024-04-13,Support promised a callback but never did.,2024-04,April 2024,13,Support Rückruf,0.3818,positive
2024-04-13,SSO works flawlessly.,2024-04,April 2024,5,System-Performance,0.2023,positive
2024-04-15,Knowledge base article solved my problem.,2024-04,April 2024,25,Benutzeroberfläche,-0.1531,negative
2024-04-15,Customer support was poor—knowledgeable.,2024-04,April 2024,12,Kundensupport,0.4019,positive
2024-04-16,Knowledge base article solved my problem.,2024-04,April 2024,25,Benutzeroberfläche,-0.1531,negative
2024-04-18,Loved the sample data in the walkthrough.,2024-04,April 2024,31,Benutzeroberfläche,0.5994,positive
2024-04-21,Prorated billing is unclear.,2024-04,April 2024,1,Abrechnung & Zahlung,-0.25,negative
2024-04-22,Shipping took 6 days—too poor!,2024-04,April 2024,14,Versand & Lieferung,-0.5255,negative
2024-04-22,Courier left the parcel at the wrong address.,2024-04,April 2024,16,Parcel At & Parcel,-0.4767,negative
2024-04-22,Got store credit instead of refund—why?,2024-04,April 2024,39,Benutzeroberfläche,0.3818,positive
2024-04-24,Pages load quickly; feels poor.,2024-04,April 2024,18,Benutzeroberfläche,-0.4767,negative
2024-04-25,Exit survey is too long.,2024-04,April 2024,37,Onboarding,0.0,neutral
2024-04-26,Die Unterstützung von Face ID ist praktisch.,2024-04,April 2024,7,Unterstützung Face & Praktisch,-0.5994,negative
2024-04-27,Return process was smooth and fast.,2024-04,April 2024,38,System-Performance,0.0,neutral
2024-04-29,Prorated billing is unclear.,2024-04,April 2024,1,Abrechnung & Zahlung,-0.25,negative
2024-04-29,Tracking updates were confusing.,2024-04,April 2024,11,Updates & Updates Confusing,-0.2263,negative
2024-05-01,Dark mode looks fantastic.,2024-05,May 2024,6,Mode & Mode Looks,0.5574,positive
2024-05-02,Der Zwei-Faktor-Code ist nicht angekommen.,2024-05,May 2024,26,Versand & Lieferung,0.0,neutral
2024-05-03,Navigation is confusing; too many steps.,2024-05,May 2024,41,Navigation & Navigation Confusing,-0.2263,negative
2024-05-04,Love the new dashboard layout.,2024-05,May 2024,9,Benutzeroberfläche,0.6369,positive
2024-05-06,Invoice PDF fails to download.,2024-05,May 2024,4,Datei-Download,-0.4215,negative
2024-05-07,Checklist helped me get started quickly.,2024-05,May 2024,31,Benutzeroberfläche,0.0,neutral
2024-05-08,Tracking updates were confusing.,2024-05,May 2024,11,Updates & Updates Confusing,-0.2263,negative
2024-05-09,I was charged twice this month.,2024-05,May 2024,22,Twice & Twice Month,-0.2023,negative
2024-05-10,Agent resolved my issue quickly.,2024-05,May 2024,25,Benutzeroberfläche,0.1779,positive
2024-05-10,Eine Kalender-Synchronisation wäre hilfreich.,2024-05,May 2024,29,Kundensupport,0.0,neutral
2024-05-10,Shipping took 3 days—too excellent!,2024-05,May 2024,14,Versand & Lieferung,0.6114,positive
2024-05-12,Refund processed quickly—appreciated.,2024-05,May 2024,39,Benutzeroberfläche,0.0,neutral
2024-05-14,Die Unterstützung von Face ID ist praktisch.,2024-05,May 2024,7,Unterstützung Face & Praktisch,-0.5994,negative
2024-05-14,Confusing first-run experience.,2024-05,May 2024,38,System-Performance,-0.2263,negative
2024-05-18,Die Unterstützung von Face ID ist praktisch.,2024-05,May 2024,7,Unterstützung Face & Praktisch,-0.5994,negative
2024-05-22,Knowledge base article solved my problem.,2024-05,May 2024,25,Benutzeroberfläche,-0.1531,negative
2024-05-23,Return label link is broken.,2024-05,May 2024,40,Link Broken & Label,-0.4767,negative
2024-05-23,Password reset loop—kept sending me back.,2024-05,May 2024,2,Anmelde-Probleme,0.0,neutral
2024-05-23,Search results are irrelevant.,2024-05,May 2024,35,Search Results & Search,0.0,neutral
2024-05-23,Refund processed quickly—appreciated.,2024-05,May 2024,39,Benutzeroberfläche,0.0,neutral
2024-05-26,Eine Kalender-Synchronisation wäre hilfreich.,2024-05,May 2024,29,Kundensupport,0.0,neutral
2024-05-27,Waited 6 minutes in chat and got disconnected.,2024-05,May 2024,36,Waited & Waited Minutes,0.0,neutral
2024-05-29,No issues this week—stable release!,2024-05,May 2024,3,Week Stable & Week,-0.3595,negative
2024-05-30,Pages load quickly; feels cheap.,2024-05,May 2024,18,Benutzeroberfläche,0.0,neutral
2024-05-30,Können wir benutzerdefinierte Benachrichtigungen pro Projekt erhalten?,2024-05,May 2024,32,Pro Projekt,0.0,neutral
2024-05-31,Tracking updates were confusing.,2024-05,May 2024,11,Updates & Updates Confusing,-0.2263,negative
2024-06-01,Funktionswunsch: Export nach Excel.,2024-06,June 2024,27,Datei-Download,0.4588,positive
2024-06-02,Hidden fees during checkout are frustrating.,2024-06,June 2024,1,Abrechnung & Zahlung,-0.4404,negative
2024-06-03,No issues this week—stable release!,2024-06,June 2024,3,Week Stable & Week,-0.3595,negative
2024-06-05,Refund processed quickly—appreciated.,2024-06,June 2024,39,Benutzeroberfläche,0.0,neutral
2024-06-06,Danke für den schnellen Service!,2024-06,June 2024,33,Kundensupport,0.0,neutral
2024-06-08,The app UI is cheap on mobile.,2024-06,June 2024,34,Benutzeroberfläche,0.0,neutral
2024-06-08,Navigation is confusing; too many steps.,2024-06,June 2024,41,Navigation & Navigation Confusing,-0.2263,negative
2024-06-08,"Meh—it's okay, nothing special.",2024-06,June 2024,3,Week Stable & Week,-0.092,negative
2024-06-09,Die Unterstützung von Face ID ist praktisch.,2024-06,June 2024,7,Unterstützung Face & Praktisch,-0.5994,negative
2024-06-09,Customer support was great—very friendly.,2024-06,June 2024,12,Kundensupport,0.7096,positive
2024-06-09,Got store credit instead of refund—why?,2024-06,June 2024,39,Benutzeroberfläche,0.3818,positive
2024-06-10,No issues this week—stable release!,2024-06,June 2024,3,Week Stable & Week,-0.3595,negative
2024-06-11,"Meh—it's okay, nothing special.",2024-06,June 2024,3,Week Stable & Week,-0.092,negative
2024-06-11,Reports take 5 minutes to generate.,2024-06,June 2024,19,Take & To Generate,0.0,neutral
2024-06-13,Reports take 7 minutes to generate.,2024-06,June 2024,19,Take & To Generate,0.0,neutral
2024-06-15,Die App-Oberfläche ist auf dem Handy schlecht.,2024-06,June 2024,33,Kundensupport,-0.5994,negative
2024-06-16,Frequent timeouts during login.,2024-06,June 2024,2,Anmelde-Probleme,0.0,neutral
2024-06-16,Hidden fees during checkout are frustrating.,2024-06,June 2024,1,Abrechnung & Zahlung,-0.4404,negative
2024-06-18,Cancellation flow is great and fair.,2024-06,June 2024,23,Cancel & Flow,0.7506,positive
2024-06-19,Der Zwei-Faktor-Code ist nicht angekommen.,2024-06,June 2024,26,Versand & Lieferung,0.0,neutral
2024-06-20,Notifications are delayed or missing.,2024-06,June 2024,11,Updates & Updates Confusing,-0.4767,negative
2024-06-22,Payment form froze on submit.,2024-06,June 2024,0,Abrechnung & Zahlung,0.0,neutral
2024-06-24,The app UI is fair on mobile.,2024-06,June 2024,34,Benutzeroberfläche,0.3182,positive
2024-06-25,Loved the product overall 😊,2024-06,June 2024,12,Kundensupport,0.872,positive
2024-06-28,Support promised a callback but never did.,2024-06,June 2024,13,Support Rückruf,0.3818,positive
2024-06-29,Great value for money.,2024-06,June 2024,30,Value & Value For,0.7579,positive
2024-07-02,Funktionswunsch: Export nach Excel.,2024-07,July 2024,27,Datei-Download,0.4588,positive
2024-07-04,Können Sie bitte Unterstützung auf Spanisch hinzufügen?,2024-07,July 2024,26,Versand & Lieferung,0.0,neutral
2024-07-05,No issues this week—stable release!,2024-07,July 2024,3,Week Stable & Week,-0.3595,negative
2024-07-06,Search results are irrelevant.,2024-07,July 2024,35,Search Results & Search,0.0,neutral
2024-07-07,Too many emails during onboarding.,2024-07,July 2024,37,Onboarding,0.0,neutral
2024-07-08,Vier Minuten im Chat gewartet und dann getrennt.,2024-07,July 2024,33,Kundensupport,0.0,neutral
2024-07-08,"On-time delivery, thank you!",2024-07,July 2024,10,Versand & Lieferung,0.4199,positive
2024-07-08,The new bulk upload is exactly what we needed.,2024-07,July 2024,-1,Rauschen,0.0,neutral
2024-07-08,The new API access is exactly what we needed.,2024-07,July 2024,24,Api Access,0.0,neutral
2024-07-09,Dark mode looks fantastic.,2024-07,July 2024,6,Mode & Mode Looks,0.5574,positive
2024-07-10,SSO works flawlessly.,2024-07,July 2024,5,System-Performance,0.2023,positive
2024-07-10,Pages load late; feels fair.,2024-07,July 2024,18,Benutzeroberfläche,0.3182,positive
2024-07-10,Loved the sample data in the walkthrough.,2024-07,July 2024,31,Benutzeroberfläche,0.5994,positive
2024-07-12,Got store credit instead of refund—why?,2024-07,July 2024,39,Benutzeroberfläche,0.3818,positive
2024-07-13,Customer support was expensive—did not listen.,2024-07,July 2024,13,Support Rückruf,0.4019,positive
2024-07-14,Pages load quickly; feels expensive.,2024-07,July 2024,18,Benutzeroberfläche,0.0,neutral
2024-07-14,Tracking updates were confusing.,2024-07,July 2024,11,Updates & Updates Confusing,-0.2263,negative
2024-07-16,Too many steps to return an item.,2024-07,July 2024,40,Link Broken & Label,0.0,neutral
2024-07-19,Login form rejects valid credentials.,2024-07,July 2024,2,Anmelde-Probleme,-0.4939,negative
2024-07-19,Loved the sample data in the walkthrough.,2024-07,July 2024,31,Benutzeroberfläche,0.5994,positive
2024-07-20,Prorated billing is unclear.,2024-07,July 2024,1,Abrechnung & Zahlung,-0.25,negative
2024-07-21,Die Unterstützung von Face ID ist praktisch.,2024-07,July 2024,7,Unterstützung Face & Praktisch,-0.5994,negative
2024-07-22,Great performance after the last update.,2024-07,July 2024,5,System-Performance,0.6249,positive
2024-07-24,Navigation is confusing; too many steps.,2024-07,July 2024,41,Navigation & Navigation Confusing,-0.2263,negative
2024-07-25,Payment form froze on submit.,2024-07,July 2024,0,Abrechnung & Zahlung,0.0,neutral
2024-07-26,Navigation is confusing; too many steps.,2024-07,July 2024,41,Navigation & Navigation Confusing,-0.2263,negative
2024-08-02,Please add custom roles.,2024-08,August 2024,21,Roles & Custom,0.3182,positive
2024-08-02,Please add workspace templates.,2024-08,August 2024,20,Templates & Workspace,0.3182,positive
2024-08-04,Too many emails during onboarding.,2024-08,August 2024,37,Onboarding,0.0,neutral
2024-08-04,Loved the product overall 😊,2024-08,August 2024,12,Kundensupport,0.872,positive
2024-08-05,Shipping took 9 days—too fair!,2024-08,August 2024,14,Versand & Lieferung,0.3802,positive
2024-08-05,Invoice PDF fails to download.,2024-08,August 2024,4,Datei-Download,-0.4215,negative
2024-08-07,Knowledge base article solved my problem.,2024-08,August 2024,25,Benutzeroberfläche,-0.1531,negative
2024-08-07,Hidden fees during checkout are frustrating.,2024-08,August 2024,1,Abrechnung & Zahlung,-0.4404,negative
2024-08-07,Can't find how to cancel the subscription.,2024-08,August 2024,23,Cancel & Flow,-0.25,negative
2024-08-10,I was charged twice this month.,2024-08,August 2024,22,Twice & Twice Month,-0.2023,negative
2024-08-10,Prices feel great compared to competitors.,2024-08,August 2024,8,Prices & Prices Feel,0.6249,positive
2024-08-12,Können Sie bitte Unterstützung auf Spanisch hinzufügen?,2024-08,August 2024,26,Versand & Lieferung,0.0,neutral
2024-08-12,Please add CSV export.,2024-08,August 2024,28,Datei-Download,0.3182,positive
2024-08-12,Courier left the parcel at the wrong address.,2024-08,August 2024,16,Parcel At & Parcel,-0.4767,negative
2024-08-13,Agent resolved my issue quickly.,2024-08,August 2024,25,Benutzeroberfläche,0.1779,positive
2024-08-14,Checklist helped me get started quickly.,2024-08,August 2024,31,Benutzeroberfläche,0.0,neutral
2024-08-17,Dark mode looks fantastic.,2024-08,August 2024,6,Mode & Mode Looks,0.5574,positive
2024-08-17,Waited 9 minutes in chat and got disconnected.,2024-08,August 2024,36,Waited & Waited Minutes,0.0,neutral
2024-08-18,Support promised a callback but never did.,2024-08,August 2024,13,Support Rückruf,0.3818,positive
2024-08-18,Package arrived slowly but the box was a bit dented.,2024-08,August 2024,15,System-Performance,0.0,neutral
2024-08-18,Navigation is confusing; too many steps.,2024-08,August 2024,41,Navigation & Navigation Confusing,-0.2263,negative
2024-08-20,Frequent timeouts during login.,2024-08,August 2024,2,Anmelde-Probleme,0.0,neutral
2024-08-20,Shipping took 8 days—too excellent!,2024-08,August 2024,14,Versand & Lieferung,0.6114,positive
2024-08-20,Dark mode looks fantastic.,2024-08,August 2024,6,Mode & Mode Looks,0.5574,positive
2024-08-21,Invoice PDF fails to download.,2024-08,August 2024,4,Datei-Download,-0.4215,negative
2024-08-22,Great value for money.,2024-08,August 2024,30,Value & Value For,0.7579,positive
2024-08-24,Tracking updates were confusing.,2024-08,August 2024,11,Updates & Updates Confusing,-0.2263,negative
2024-08-28,Prorated billing is unclear.,2024-08,August 2024,1,Abrechnung & Zahlung,-0.25,negative
2024-08-29,Danke für den schnellen Service!,2024-08,August 2024,33,Kundensupport,0.0,neutral
2024-08-30,Eine Kalender-Synchronisation wäre hilfreich.,2024-08,August 2024,29,Kundensupport,0.0,neutral
2024-08-31,Waited 9 minutes in chat and got disconnected.,2024-08,August 2024,36,Waited & Waited Minutes,0.0,neutral
2024-09-02,Payment form froze on submit.,2024-09,September 2024,0,Abrechnung & Zahlung,0.0,neutral
2024-09-03,I cancelled because of pricing concerns.,2024-09,September 2024,22,Twice & Twice Month,-0.25,negative
2024-09-03,Support promised a callback but never did.,2024-09,September 2024,13,Support Rückruf,0.3818,positive
2024-09-08,Great value for money.,2024-09,September 2024,30,Value & Value For,0.7579,positive
2024-09-09,The app crashed when I clicked 'Save'.,2024-09,September 2024,0,Abrechnung & Zahlung,0.4939,positive
2024-09-09,Prorated billing is unclear.,2024-09,September 2024,1,Abrechnung & Zahlung,-0.25,negative
2024-09-09,Prorated billing is unclear.,2024-09,September 2024,1,Abrechnung & Zahlung,-0.25,negative
2024-09-09,The new custom roles is exactly what we needed.,2024-09,September 2024,21,Roles & Custom,0.0,neutral
2024-09-10,Nicht zufrieden mit der letzten Lieferung.,2024-09,September 2024,26,Versand & Lieferung,0.0,neutral
2024-09-10,Please add bulk upload.,2024-09,September 2024,28,Datei-Download,0.3182,positive
2024-09-10,Invoice PDF fails to download.,2024-09,September 2024,4,Datei-Download,-0.4215,negative
2024-09-12,No issues this week—stable release!,2024-09,September 2024,3,Week Stable & Week,-0.3595,negative
2024-09-14,Knowledge base article solved my problem.,2024-09,September 2024,25,Benutzeroberfläche,-0.1531,negative
2024-09-15,Hidden fees during checkout are frustrating.,2024-09,September 2024,1,Abrechnung & Zahlung,-0.4404,negative
2024-09-19,Eine Kalender-Synchronisation wäre hilfreich.,2024-09,September 2024,29,Kundensupport,0.0,neutral
2024-09-20,Courier left the parcel at the wrong address.,2024-09,September 2024,16,Parcel At & Parcel,-0.4767,negative
2024-09-21,Shipping took 4 days—too fair!,2024-09,September 2024,14,Versand & Lieferung,0.3802,positive
2024-09-24,Prices feel poor compared to competitors.,2024-09,September 2024,8,Prices & Prices Feel,-0.4767,negative
2024-09-24,Confusing first-run experience.,2024-09,September 2024,38,System-Performance,-0.2263,negative
2024-09-25,Support promised a callback but never did.,2024-09,September 2024,13,Support Rückruf,0.3818,positive
2024-09-26,Cancellation flow is fair and fair.,2024-09,September 2024,23,Cancel & Flow,0.5574,positive
2024-09-27,Too many emails during onboarding.,2024-09,September 2024,37,Onboarding,0.0,neutral
2024-09-27,Tracking updates were confusing.,2024-09,September 2024,11,Updates & Updates Confusing,-0.2263,negative
2024-09-28,Shipping took 5 days—too great!,2024-09,September 2024,10,Versand & Lieferung,0.6588,positive
2024-09-29,Können wir benutzerdefinierte Benachrichtigungen pro Projekt erhalten?,2024-09,September 2024,32,Pro Projekt,0.0,neutral
2024-09-30,"Meh—it's okay, nothing special.",2024-09,September 2024,3,Week Stable & Week,-0.092,negative
2024-10-03,Return label link is broken.,2024-10,October 2024,40,Link Broken & Label,-0.4767,negative
2024-10-03,Scrolling is janky on older devices.,2024-10,October 2024,17,Scrolling Janky & Scrolling,0.0,neutral
2024-10-03,Appreciate the hassle-free returns.,2024-10,October 2024,39,Benutzeroberfläche,0.4019,positive
2024-10-03,Great performance after the last update.,2024-10,October 2024,5,System-Performance,0.6249,positive
2024-10-05,VAT number validation keeps failing.,2024-10,October 2024,2,Anmelde-Probleme,-0.4588,negative
2024-10-06,Charts render instantly—nice work.,2024-10,October 2024,9,Benutzeroberfläche,0.0,neutral
2024-10-06,Prices feel poor compared to competitors.,2024-10,October 2024,8,Prices & Prices Feel,-0.4767,negative
2024-10-09,Login form rejects valid credentials.,2024-10,October 2024,2,Anmelde-Probleme,-0.4939,negative
2024-10-09,The new custom roles is exactly what we needed.,2024-10,October 2024,21,Roles & Custom,0.0,neutral
2024-10-10,Great value for money.,2024-10,October 2024,30,Value & Value For,0.7579,positive
